Using scaled threading model. 4 processors detected, 4 threads used to drive the workload, in a possible range of [1,64]
4 query batches completed
8 query batches completed
12 query batches completed
16 query batches completed
20 query batches completed
24 query batches completed
28 query batches completed
32 query batches completed
36 query batches completed
40 query batches completed
44 query batches completed
48 query batches completed
52 query batches completed
56 query batches completed
60 query batches completed
64 query batches completed
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.commons.cli.PosixParser, eatTheRest, 1, 1, 1, 1
org.apache.commons.cli.PosixParser, currentOption, 0, 0, 0, 1
org.apache.commons.cli.PosixParser, options, 0, 1, 1, 1
org.apache.commons.cli.PosixParser, tokens, 4, 1, 1, 1
org.apache.lucene.store.FSDirectory, refCount, 64, 64, 1, 1
org.apache.lucene.store.FSDirectory, isOpen, 64, 1, 1, 1
org.apache.lucene.store.FSDirectory, buffer, 0, 1, 1, 1
org.apache.lucene.store.FSDirectory, directory, 322, 2, 1, 1
org.apache.commons.cli.Option, opt, 69, 23, 36, 36
org.apache.commons.cli.Option, argName, 0, 34, 12, 36
org.apache.commons.cli.Option, numberOfArgs, 0, 34, 12, 36
org.apache.commons.cli.Option, values, 23, 23, 24, 36
org.apache.commons.cli.Option, description, 23, 23, 23, 36
org.apache.commons.cli.Option, optionalArg, 0, 0, 0, 36
org.apache.commons.cli.Option, type, 0, 0, 0, 36
org.apache.commons.cli.Option, longOpt, 111, 23, 23, 36
org.apache.commons.cli.Option, required, 45, 0, 23, 36
org.apache.commons.cli.Option, valuesep, 0, 11, 11, 36
org.apache.lucene.search.Searcher, closeReader, 0, 0, 0, 64
org.apache.lucene.search.Searcher, similarity, 524148, 64, 64, 64
org.apache.lucene.search.Searcher, reader, 0, 0, 0, 64
org.apache.lucene.search.DocIdSetIterator, termDocs, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, pointer, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, docs, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, scoreCache, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, norms, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, weight, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, doc, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, freqs, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, pointerMax, 0, 0, 0, 262100
org.apache.lucene.search.DocIdSetIterator, weightValue, 0, 0, 0, 262100
org.apache.lucene.index.SegmentTermEnum, proxPointer, 8490646, 8515856, 128, 192
org.apache.lucene.index.SegmentTermEnum, prevBuffer, 9629014, 192, 192, 192
org.apache.lucene.index.SegmentTermEnum, fieldInfos, 8484472, 128, 192, 192
org.apache.lucene.index.SegmentTermEnum, formatM1SkipInterval, 0, 0, 0, 192
org.apache.lucene.index.SegmentTermEnum, indexInterval, 0, 128, 128, 192
org.apache.lucene.index.SegmentTermEnum, format, 8499743, 128, 192, 192
org.apache.lucene.index.SegmentTermEnum, scanBuffer, 9466745, 192, 192, 192
org.apache.lucene.index.SegmentTermEnum, skipInterval, 8490261, 128, 192, 192
org.apache.lucene.index.SegmentTermEnum, isIndex, 8487165, 256, 192, 192
org.apache.lucene.index.SegmentTermEnum, input, 35016889, 192, 192, 192
org.apache.lucene.index.SegmentTermEnum, maxSkipLevels, 0, 256, 128, 192
org.apache.lucene.index.SegmentTermEnum, termInfo, 35074861, 192, 195, 192
org.apache.lucene.index.SegmentTermEnum, size, 8495636, 128, 192, 192
org.apache.lucene.index.SegmentTermEnum, freqPointer, 8480082, 8512319, 128, 192
org.apache.lucene.index.SegmentTermEnum, termBuffer, 27604645, 192, 192, 192
org.apache.lucene.index.SegmentTermEnum, position, 8504883, 8643843, 192, 192
org.apache.lucene.index.SegmentTermEnum, skipOffset, 0, 1026220, 128, 192
org.apache.lucene.index.SegmentTermEnum, indexPointer, 14592, 14720, 128, 192
org.apache.lucene.index.SegmentTermEnum, docFreq, 8505503, 8483561, 130, 192
org.apache.lucene.analysis.LowerCaseFilter, input, 262041, 0, 130955, 131006
org.apache.lucene.search.TopDocs, scoreDocs, 0, 262106, 262089, 262076
org.apache.lucene.search.TopDocs, totalHits, 0, 262100, 262087, 262076
org.apache.lucene.search.TopDocs, maxScore, 0, 262101, 262084, 262076
org.apache.lucene.store.IndexInput, file, 0, 0, 0, 1088
org.apache.lucene.store.IndexInput, bytes, 428575, 525401, 704, 1088
org.apache.lucene.store.IndexInput, preUTF8Strings, 107227, 0, 320, 1088
org.apache.lucene.store.IndexInput, isClone, 0, 0, 0, 1088
org.apache.lucene.store.IndexInput, chars, 0, 524921, 512, 1088
org.apache.lucene.analysis.TokenStream, maxTokenLength, 0, 0, 0, 523878
org.apache.lucene.analysis.TokenStream, scanner, 0, 0, 0, 523878
org.apache.lucene.analysis.TokenStream, replaceInvalidAcronym, 0, 0, 0, 523878
org.apache.lucene.store.SimpleFSLockFactory, lockDir, 0, 1, 1, 1
org.apache.lucene.analysis.Analyzer, tokenStreams, 0, 64, 64, 64
org.apache.lucene.analysis.Analyzer, maxTokenLength, 0, 0, 0, 64
org.apache.lucene.analysis.Analyzer, replaceInvalidAcronym, 0, 0, 0, 64
org.apache.lucene.analysis.Analyzer, stopSet, 0, 0, 0, 64
org.apache.lucene.document.AbstractField, omitTf, 0, 106396, 106393, 106393
org.apache.lucene.document.AbstractField, omitNorms, 0, 212793, 106393, 106393
org.apache.lucene.document.AbstractField, isIndexed, 0, 106396, 106394, 106393
org.apache.lucene.document.AbstractField, lazy, 0, 106396, 106391, 106393
org.apache.lucene.document.AbstractField, fieldsData, 0, 106394, 106391, 106393
org.apache.lucene.document.AbstractField, isBinary, 53199, 106397, 106394, 106393
org.apache.lucene.document.AbstractField, isTokenized, 0, 106398, 106393, 106393
org.apache.lucene.document.AbstractField, storeTermVector, 0, 212784, 106390, 106393
org.apache.lucene.document.AbstractField, isStored, 0, 106397, 106393, 106393
org.apache.lucene.document.AbstractField, isCompressed, 0, 106396, 106393, 106393
org.apache.lucene.document.AbstractField, name, 212791, 106398, 106394, 106393
org.apache.lucene.document.AbstractField, boost, 0, 106396, 106393, 106393
org.apache.lucene.document.AbstractField, storeOffsetWithTermVector, 0, 212789, 106393, 106393
org.apache.lucene.document.AbstractField, storePositionWithTermVector, 0, 212778, 106386, 106393
org.apache.lucene.search.BooleanClause, occur, 0, 130956, 100464, 100440
org.apache.lucene.search.BooleanClause, query, 0, 130971, 100479, 100440
org.apache.lucene.util.cache.SimpleLRUCache$1, this$0, 8069, 64, 8070, 8070
org.apache.lucene.queryParser.QueryParser$JJCalls, next, 0, 0, 0, 131087
org.apache.lucene.queryParser.QueryParser$JJCalls, gen, 0, 0, 0, 131087
org.apache.lucene.queryParser.QueryParser$JJCalls, arg, 0, 0, 0, 131087
org.apache.lucene.queryParser.QueryParser$JJCalls, first, 0, 0, 0, 131087
org.apache.lucene.search.BooleanQuery$BooleanWeight, similarity, 36, 36, 36, 36
org.apache.lucene.search.BooleanQuery$BooleanWeight, this$0, 144, 36, 36, 36
org.apache.lucene.search.BooleanQuery$BooleanWeight, weights, 108, 36, 36, 36
org.apache.lucene.search.BooleanQuery$BooleanWeight, minNrShouldMatch, 36, 0, 36, 36
org.apache.lucene.store.LockFactory, lockPrefix, 0, 3, 1, 1
org.apache.lucene.store.LockFactory, lockDir, 0, 0, 0, 1
org.apache.lucene.index.FieldInfo, omitTf, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, number, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, isIndexed, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, omitNorms, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, storePayloads, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, name, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, storeTermVector, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, storeOffsetWithTermVector, 0, 192, 192, 192
org.apache.lucene.index.FieldInfo, storePositionWithTermVector, 0, 192, 192, 192
org.dacapo.parser.Token, endLine, 0, 0, 0, 1548
org.dacapo.parser.Token, next, 0, 0, 0, 1548
org.dacapo.parser.Token, image, 0, 1547, 1547, 1548
org.dacapo.parser.Token, endColumn, 0, 0, 0, 1548
org.dacapo.parser.Token, specialToken, 0, 0, 0, 1548
org.dacapo.parser.Token, beginColumn, 0, 0, 0, 1548
org.dacapo.parser.Token, kind, 0, 1547, 1547, 1548
org.dacapo.parser.Token, beginLine, 0, 0, 0, 1548
org.dacapo.lusearch.Search$QueryProcessor, parent, 272, 63, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, searcher, 315257, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, hitsPerPage, 141088, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, in, 131119, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, reader, 128, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, raw, 53199, 64, 71, 64
org.dacapo.lusearch.Search$QueryProcessor, completed, 144, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, out, 61398, 64, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, scoreDocs, 131063, 0, 64, 64
org.dacapo.lusearch.Search$QueryProcessor, field, 8135, 64, 71, 64
org.dacapo.lusearch.Search$QueryProcessor, this$0, 0, 62, 62, 64
org.dacapo.lusearch.Search$QueryProcessor, doc, 53199, 0, 64, 64
org.apache.lucene.analysis.standard.StandardFilter, input, 262034, 0, 130949, 130968
org.dacapo.parser.Config$ThreadModel, description, 0, 3, 3, 3
org.apache.lucene.index.IndexFileNameFilter, extensions, 207, 1, 1, 1
org.apache.lucene.index.IndexFileNameFilter, extensionsInCFS, 11, 1, 1, 1
org.apache.lucene.search.HitQueue, score, 2903174, 0, 11052, 262080
org.apache.lucene.search.HitQueue, doc, 389001, 0, 9212, 262080
org.dacapo.parser.Config$OutputFile, filter, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, bytes, 66, 206, 206, 206
org.dacapo.parser.Config$OutputFile, this$0, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, keep, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, digest, 66, 206, 206, 206
org.dacapo.parser.Config$OutputFile, existence, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, name, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, text, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, lines, 66, 206, 206, 206
org.apache.lucene.store.ChecksumIndexInput, digest, 3904, 64, 64, 64
org.apache.lucene.store.ChecksumIndexInput, main, 3904, 64, 64, 64
org.apache.lucene.queryParser.FastCharStream, input, 393183, 131116, 131108, 131087
org.apache.lucene.queryParser.FastCharStream, bufferLength, 2175842, 655233, 131113, 131087
org.apache.lucene.queryParser.FastCharStream, bufferPosition, 3434196, 1783042, 131116, 131087
